Date,Time,Python_Timestamp,ESP32_Timestamp_ms,Time_Diff_ms,Length_cm,RPM,Belt_Speed_cm_s
2025-11-09,17:56:27.602,1762728987.602555,406012,3064,41.711933,13.00,13.61
2025-11-09,17:57:45.955,1762729065.955385,484355,14348,195.327301,13.00,13.61
2025-11-09,17:59:12.673,1762729152.673369,571076,7417,100.971741,13.00,13.61
